Sex,Race/Ethnicity,Age,Stage at Diagnosis,Rate Type,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Modeled Rate (Regression Line),Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction
Male,All Races (includes Hispanic),Ages < 50,All Stages,Delay-adjusted Rates,2001,4.7996,4.5847,5.022,4.7953,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Delay-adjusted Rates,2002,4.7951,4.5809,5.0168,4.8471,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Delay-adjusted Rates,2003,4.8193,4.6047,5.0413,4.8994,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Delay-adjusted Rates,2004,5.0706,4.8507,5.298,4.9522,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Delay-adjusted Rates,2005,5.0998,4.879,5.328,5.0057,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Delay-adjusted Rates,2006,5.04,4.8203,5.2672,5.0597,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Delay-adjusted Rates,2007,5.2202,4.9963,5.4516,5.1143,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Delay-adjusted Rates,2008,5.0504,4.8302,5.2781,5.1695,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Delay-adjusted Rates,2009,5.2724,5.0464,5.5058,5.2253,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Delay-adjusted Rates,2010,5.3348,5.1068,5.5704,5.2817,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Delay-adjusted Rates,2011,5.3802,5.1499,5.618,5.3387,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Delay-adjusted Rates,2012,5.3667,5.1358,5.6052,5.3963,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Delay-adjusted Rates,2013,5.4366,5.2037,5.6772,5.4546,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Delay-adjusted Rates,2014,5.5761,5.3396,5.8201,5.5135,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Delay-adjusted Rates,2015,5.4802,5.2446,5.7235,5.573,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Delay-adjusted Rates,2016,5.7217,5.4793,5.9719,5.6331,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Delay-adjusted Rates,2017,5.5652,5.3253,5.813,5.6939,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2000,23.0464,21.9613,24.1711,23.2741,2000-2006,-1.0581,-2.3795,0.2812,Stable
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2001,23.8392,22.7535,24.9632,23.0278,2006-2013,1.3402,0.1415,2.5533,Trend is Rising
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2002,21.8799,20.8612,22.9354,22.7842,2013-2017,-2.1817,-4.2481,-0.0707,Trend is Falling
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2003,22.7609,21.742,23.8153,22.5431,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2004,22.2924,21.3025,23.3164,22.3046,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2005,22.2361,21.264,23.2411,22.0686,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2006,20.9895,20.0606,21.9504,21.835,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2007,22.5255,21.5833,23.4983,22.1277,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2008,22.8678,21.932,23.8332,22.4242,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2009,22.581,21.6659,23.5248,22.7248,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2010,23.3416,22.4273,24.2836,23.0293,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2011,23.6275,22.7209,24.5611,23.338,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2012,22.9214,22.0318,23.8379,23.6508,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2013,24.2171,23.3064,25.1544,23.9677,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2014,23.3198,22.4338,24.2319,23.4448,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2015,22.5234,21.6568,23.4159,22.9333,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2016,23.1175,22.2419,24.0188,22.433,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Observed Rates,2017,21.6537,20.8072,22.526,21.9436,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Delay-adjusted Rates,2000,23.0464,21.9613,24.1711,23.2934,2000-2005,-1.1388,-3.4219,1.1984,Stable
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Delay-adjusted Rates,2001,23.8392,22.7535,24.9632,23.0281,2005-2017,1.2147,0.6627,1.7697,Trend is Rising
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Delay-adjusted Rates,2002,21.8799,20.8612,22.9354,22.7659,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Delay-adjusted Rates,2003,22.7609,21.742,23.8153,22.5066,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Delay-adjusted Rates,2004,22.2924,21.3025,23.3164,22.2503,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Delay-adjusted Rates,2005,22.2361,21.264,23.2411,21.9969,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Delay-adjusted Rates,2006,20.9895,20.0606,21.9504,22.2641,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Delay-adjusted Rates,2007,22.5255,21.5833,23.4983,22.5346,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Delay-adjusted Rates,2008,22.8678,21.932,23.8332,22.8083,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Delay-adjusted Rates,2009,22.7979,21.8741,23.7508,23.0853,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Delay-adjusted Rates,2010,23.7981,22.8659,24.7584,23.3657,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Delay-adjusted Rates,2011,24.323,23.3897,25.2839,23.6496,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Delay-adjusted Rates,2012,23.8264,22.9015,24.7787,23.9368,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Delay-adjusted Rates,2013,25.4327,24.4761,26.4167,24.2276,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Delay-adjusted Rates,2014,24.7252,23.7856,25.6919,24.5219,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Delay-adjusted Rates,2015,24.2207,23.2885,25.1801,24.8197,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Delay-adjusted Rates,2016,25.3274,24.3677,26.3144,25.1212,,,,,
Male,All Races (includes Hispanic),Ages 50-64,All Stages,Delay-adjusted Rates,2017,24.4089,23.4541,25.3915,25.4263,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2000,83.559,80.986,86.1929,83.7472,2000-2008,-0.0078,-0.406,0.3919,Stable
Male,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2001,84.6398,82.0715,87.268,83.7407,2008-2011,2.7474,-0.6592,6.2708,Stable
Male,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2002,82.5567,80.0396,85.1328,83.7341,2011-2015,-0.833,-2.3938,0.7529,Stable
Male,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2003,84.4905,81.9666,87.0723,83.7276,2015-2017,-5.9195,-8.8692,-2.8742,Trend is Falling
Male,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2004,84.4105,81.9008,86.9774,83.721,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2005,82.2711,79.8156,84.7827,83.7145,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2006,83.906,81.4464,86.4209,83.7079,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2007,83.2989,80.8728,85.7792,83.7014,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2008,83.9188,81.5108,86.3796,83.6948,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2009,85.4563,83.0497,87.9147,85.9943,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2010,90.525,88.0755,93.0251,88.3569,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2011,89.539,87.1349,91.9925,90.7844,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2012,89.937,87.5666,92.3551,90.0282,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2013,88.8679,86.5444,91.2377,89.2783,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2014,89.5155,87.2201,91.8559,88.5347,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2015,86.5796,84.3559,88.847,87.7972,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2016,83.9598,81.8,86.162,82.6001,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Observed Rates,2017,77.0414,75.0019,79.122,77.7106,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Delay-adjusted Rates,2000,83.559,80.986,86.1929,83.7428,2000-2008,-0.0056,-0.4032,0.3935,Stable
Male,All Races (includes Hispanic),Ages 65+,All Stages,Delay-adjusted Rates,2001,84.6398,82.0715,87.268,83.7381,2008-2011,3.5853,0.1563,7.1317,Trend is Rising
Male,All Races (includes Hispanic),Ages 65+,All Stages,Delay-adjusted Rates,2002,82.5567,80.0396,85.1328,83.7334,2011-2015,0.1293,-1.4444,1.728,Stable
Male,All Races (includes Hispanic),Ages 65+,All Stages,Delay-adjusted Rates,2003,84.4905,81.9666,87.0723,83.7287,2015-2017,-3.2837,-6.3123,-0.1572,Trend is Falling
Male,All Races (includes Hispanic),Ages 65+,All Stages,Delay-adjusted Rates,2004,84.4105,81.9008,86.9774,83.724,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Delay-adjusted Rates,2005,82.2711,79.8156,84.7827,83.7193,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Delay-adjusted Rates,2006,83.906,81.4464,86.4209,83.7145,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Delay-adjusted Rates,2007,83.2989,80.8728,85.7792,83.7098,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Delay-adjusted Rates,2008,83.9188,81.5108,86.3796,83.7051,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Delay-adjusted Rates,2009,86.1784,83.7515,88.6574,86.7062,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Delay-adjusted Rates,2010,92.0671,89.5759,94.6096,89.8149,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Delay-adjusted Rates,2011,91.8306,89.3649,94.3464,93.035,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Delay-adjusted Rates,2012,93.0626,90.6097,95.5643,93.1553,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Delay-adjusted Rates,2013,92.7519,90.3267,95.2247,93.2757,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Delay-adjusted Rates,2014,94.2061,91.7902,96.6686,93.3963,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Delay-adjusted Rates,2015,92.569,90.1909,94.9926,93.517,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Delay-adjusted Rates,2016,91.66,89.3017,94.0634,90.4462,,,,,
Male,All Races (includes Hispanic),Ages 65+,All Stages,Delay-adjusted Rates,2017,86.8603,84.5598,89.2054,87.4762,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2000,4.9125,4.5201,5.3299,5.2189,2000-2017,0.5471,0.0809,1.0155,Trend is Rising
Male,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2001,5.0833,4.6833,5.5082,5.2475,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2002,5.0669,4.6679,5.491,5.2762,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2003,5.005,4.6078,5.4272,5.3051,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2004,5.8811,5.4496,6.3377,5.3341,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2005,5.6875,5.2622,6.1381,5.3633,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2006,5.3938,4.9786,5.8343,5.3926,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2007,5.5926,5.1694,6.0411,5.4221,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2008,5.3175,4.9056,5.7546,5.4518,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2009,5.8236,5.3923,6.2801,5.4816,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2010,5.7837,5.3543,6.2386,5.5116,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2011,5.5625,5.1407,6.0096,5.5417,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2012,5.3074,4.8954,5.7447,5.5721,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2013,5.5206,5.0994,5.9672,5.6026,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2014,5.7158,5.2866,6.1704,5.6332,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2015,5.3802,4.9636,5.8224,5.664,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2016,5.5958,5.1702,6.0471,5.695,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Observed Rates,2017,5.7119,5.2815,6.1682,5.7262,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Delay-adjusted Rates,2000,4.9125,4.5201,5.3299,5.168,2000-2017,0.7822,0.3366,1.2299,Trend is Rising
Male,All Races (includes Hispanic),Ages <15,All Stages,Delay-adjusted Rates,2001,5.0833,4.6833,5.5082,5.2085,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Delay-adjusted Rates,2002,5.0669,4.6679,5.491,5.2492,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Delay-adjusted Rates,2003,5.005,4.6078,5.4272,5.2903,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Delay-adjusted Rates,2004,5.8811,5.4496,6.3377,5.3317,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Delay-adjusted Rates,2005,5.6875,5.2622,6.1381,5.3734,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Delay-adjusted Rates,2006,5.3938,4.9786,5.8343,5.4154,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Delay-adjusted Rates,2007,5.5926,5.1694,6.0411,5.4578,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Delay-adjusted Rates,2008,5.3175,4.9056,5.7546,5.5004,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Delay-adjusted Rates,2009,5.845,5.4122,6.3032,5.5435,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Delay-adjusted Rates,2010,5.8255,5.3929,6.2836,5.5868,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Delay-adjusted Rates,2011,5.6237,5.1972,6.0756,5.6305,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Delay-adjusted Rates,2012,5.3827,4.9649,5.8262,5.6746,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Delay-adjusted Rates,2013,5.62,5.1913,6.0745,5.719,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Delay-adjusted Rates,2014,5.8408,5.4022,6.3052,5.7637,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Delay-adjusted Rates,2015,5.528,5.1,5.9821,5.8088,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Delay-adjusted Rates,2016,5.795,5.3542,6.262,5.8542,,,,,
Male,All Races (includes Hispanic),Ages <15,All Stages,Delay-adjusted Rates,2017,5.9785,5.5279,6.4556,5.9,,,,,
Male,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2000,3.3367,3.0861,3.6022,3.3983,2000-2017,1.0865,0.844,1.3297,Trend is Rising
Male,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2001,3.4081,3.1544,3.6768,3.4352,,,,,
Male,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2002,3.587,3.3259,3.8631,3.4726,,,,,
Male,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2003,3.52,3.2611,3.7939,3.5103,,,,,
Male,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2004,3.5555,3.2949,3.8311,3.5484,,,,,
Male,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2005,3.6537,3.3891,3.9334,3.587,,,,,
Male,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2006,3.4954,3.2365,3.7694,3.626,,,,,
Male,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2007,3.6364,3.3728,3.9149,3.6653,,,,,
Male,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2008,3.7148,3.4486,3.9959,3.7052,,,,,
Male,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2009,3.6345,3.3708,3.9131,3.7454,,,,,
Male,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2010,3.8052,3.5342,4.0913,3.7861,,,,,
Male,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2011,3.8725,3.5987,4.1614,3.8273,,,,,
Male,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2012,3.8878,3.6135,4.1772,3.8688,,,,,
Male,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2013,3.9216,3.6476,4.2106,3.9109,,,,,
Male,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2014,4.1007,3.8222,4.394,3.9534,,,,,
Male,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2015,4.0433,3.768,4.3332,3.9963,,,,,
Male,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2016,4.1245,3.8466,4.4171,4.0398,,,,,
Male,All Races (includes Hispanic),Ages 15-39,All Stages,Observed Rates,2017,3.8472,3.5802,4.1288,4.0836,,,,,
Male,All Races (includes Hispanic),Ages 15-39,All Stages,Delay-adjusted Rates,2000,3.3367,3.0861,3.6022,3.3652,2000-2017,1.3239,1.0873,1.5611,Trend is Rising
Male,All Races (includes Hispanic),Ages 15-39,All Stages,Delay-adjusted Rates,2001,3.4081,3.1544,3.6768,3.4098,,,,,
Male,All Races (includes Hispanic),Ages 15-39,All Stages,Delay-adjusted Rates,2002,3.587,3.3259,3.8631,3.4549,,,,,
Male,All Races (includes Hispanic),Ages 15-39,All Stages,Delay-adjusted Rates,2003,3.52,3.2611,3.7939,3.5007,,,,,
Male,All Races (includes Hispanic),Ages 15-39,All Stages,Delay-adjusted Rates,2004,3.5555,3.2949,3.8311,3.547,,,,,
Male,All Races (includes Hispanic),Ages 15-39,All Stages,Delay-adjusted Rates,2005,3.6537,3.3891,3.9334,3.594,,,,,
Male,All Races (includes Hispanic),Ages 15-39,All Stages,Delay-adjusted Rates,2006,3.4954,3.2365,3.7694,3.6416,,,,,
